SPECTER NATIONAL GROUND RUNTIME VISUAL AUDIT
========================================================================
DATA_SHA256 9eca9e739fc0861509f7d7ee2c09042e2909f60fe9629daca173ef535cdc751d
ART_SHA256 db165043b149aaf956a4daf094eabd60f1a4177feef05de7d100e97f14f07f92
DATA_FILES 2800 ART_FILES 4391

Country | Slot | Unit | Object | Model | Texture closure | Weapon bone compatibility | Status
Turkey | 14 Special | Altay | TurkeyVehicleAltay | LSFBAO2 | OK | OK | VISUAL_OK
Ukraine | 1 MBT | T-84 | UkraineTankT84 | LSFPKT84 | OK | OK | VISUAL_OK
Ukraine | 2 Heavy Tank | T-72AMT | UkraineTankT72AMT | UA_Irq_T72M1 | OK | OK | VISUAL_OK
Ukraine | 3 Recon | BRDM-2 | UkraineVehicleBRDM | UA_US_MATV | OK | OK | VISUAL_OK
Ukraine | 4 IFV | BMP-2 | UkraineVehicleBMP2 | UA_RUS_BMP3M | OK | OK | VISUAL_OK
Ukraine | 5 APC | BTR-4 | UkraineVehicleBTR4 | UA_LSFIDBTR80 | OK | OK | VISUAL_OK
Ukraine | 6 SHORAD | Gepard | UkraineVehicleGepard | UA_LSFLIEBAO | OK | OK | VISUAL_OK
Ukraine | 7 Mobile SAM | Buk-M1 | UkraineVehicleBuk | UA_NAT_IRIST_SLM | OK | OK | VISUAL_OK
Ukraine | 8 Radar | 35D6 | UkraineVehicleP18 | UA_UVRadarVan | OK | OK | VISUAL_OK
Ukraine | 9 MLRS | HIMARS | UkraineVehicleHIMARS | UA_NAT_M142 | OK | OK | VISUAL_OK
Ukraine | 10 Ballistic/Cruise TEL | Hrim-2 | UkraineVehicleHrim2 | UA_LSFIskander | OK | OK | VISUAL_OK
Ukraine | 11 SPA | 2S22 Bohdana | UkraineVehicleBohdana | UA_LSF2S19 | OK | OK | VISUAL_OK
Ukraine | 12 AT Vehicle | Stugna-P | UkraineVehicleStugna | UA_US_M1128 | OK | OK | VISUAL_OK
Ukraine | 13 Engineer | BREM-1 | UkraineVehicleBREM | UA_Irq_VT72B | OK | OK | VISUAL_OK
Ukraine | 14 Special | Neptune | UkraineTankT64BV | UA_Irq_T72M1 | OK | OK | VISUAL_OK
Sweden | 1 MBT | Strv 122 | SwedenTankStrv122 | strv122 | OK | OK | VISUAL_OK
Sweden | 2 Heavy Tank | Strv 121 | SwedenTankStrv121 | strv121 | OK | OK | VISUAL_OK
Sweden | 3 Recon | CV90 Recce | SwedenVehicleCV90R | LSFCV90 | OK | OK | VISUAL_OK
Sweden | 4 IFV | CV90 | SwedenVehicleCV90 | LSFCV90 | OK | OK | VISUAL_OK
Sweden | 5 APC | Patgb 203 | SwedenVehiclePatgb203 | PATGB203 | OK | OK | VISUAL_OK
Sweden | 6 SHORAD | Lvkv 90 | SwedenVehicleLvkv90 | LSFlvkvA2 | OK | OK | VISUAL_OK
Sweden | 7 Mobile SAM | IRIS-T SLS | SwedenVehicleIRIST | SE_NAT_IRIST_SLX | OK | OK | VISUAL_OK
Sweden | 8 Radar | Giraffe AMB | SwedenVehicleGiraffe | ARTHUR | OK | OK | VISUAL_OK
Sweden | 9 MLRS | PULS | SwedenVehiclePULS | SE_US_M270 | OK | OK | VISUAL_OK
Sweden | 10 Ballistic/Cruise TEL | RBS-15 | SwedenVehicleRBS15 | SE_US_M1075 | OK | OK | VISUAL_OK
Sweden | 11 SPA | Archer | SwedenVehicleArcher | SE_NAT_Caesar | OK | OK | VISUAL_OK
Sweden | 12 AT Vehicle | CV90120 | SwedenVehicleCV90AT | LSFCV90120 | OK | OK | VISUAL_OK
Sweden | 13 Engineer | Bgbv 120 | SwedenVehicleBgbv120 | SE_Irq_VT72B | OK | OK | VISUAL_OK
Sweden | 14 Special | Strv 122B+ | SwedenTankStrv122B | strv122 | OK | OK | VISUAL_OK
India | 1 MBT | T-90 Bhishma | IndiaTankT90S | IndiaT90S | OK | OK | VISUAL_OK
India | 2 Heavy Tank | T-72 Ajeya | IndiaTankT72Ajeya | IN_Irq_T72M1 | OK | OK | VISUAL_OK
India | 3 Recon | NAMICA | IndiaVehicleNAMICA | IN_US_M1296 | OK | OK | VISUAL_OK
India | 4 IFV | BMP-2 | IndiaVehicleBMP2 | LSFIDBMP2 | OK | OK | VISUAL_OK
India | 5 APC | Tata Kestrel | IndiaVehicleKestrel | IN_LSFIDBTR80 | OK | OK | VISUAL_OK
India | 6 SHORAD | 2S6 Tunguska | IndiaVehicleTunguska | LSFIndia2C6 | OK | OK | VISUAL_OK
India | 7 Mobile SAM | Akash | IndiaVehicleAkash | IN_LSFHQ9 | OK | OK | VISUAL_OK
India | 8 Radar | Rajendra | IndiaVehicleRajendra | IN_UVRadarVan | OK | OK | VISUAL_OK
India | 9 MLRS | Pinaka | IndiaVehiclePinaka | IN_RUS_BM30 | OK | OK | VISUAL_OK
India | 10 Ballistic/Cruise TEL | Prahaar | IndiaVehiclePrahaar | IN_LSFIskander | OK | OK | VISUAL_OK
India | 11 SPA | K9 Vajra | IndiaVehicleK9Vajra | IN_LSFSKK55 | OK | OK | VISUAL_OK
India | 12 AT Vehicle | Nag | IndiaVehicleNag | IN_US_M1128 | OK | OK | VISUAL_OK
India | 13 Engineer | VT-72B | IndiaVehicleVT72B | IN_Irq_VT72B | OK | OK | VISUAL_OK
India | 14 Special | Arjun | IndiaTankArjun | LSFAQIONG | OK | OK | VISUAL_OK
Pakistan | 1 MBT | Al-Khalid | PakistanTankAlKhalid | hld | OK | OK | VISUAL_OK
Pakistan | 2 Heavy Tank | Al-Zarrar | PakistanTankAlZarrar | LSFAZL | OK | OK | VISUAL_OK
Pakistan | 3 Recon | Mohafiz | PakistanVehicleMohafiz | PK_US_MATV | OK | OK | VISUAL_OK
Pakistan | 4 IFV | Saad | PakistanVehicleTalhaIFV | PK_RUS_BMP3M | OK | OK | VISUAL_OK
Pakistan | 5 APC | Talha | PakistanVehicleTalhaAPC | PK_Irq_BTR90 | OK | OK | VISUAL_OK
Pakistan | 6 SHORAD | LY-80 | PakistanVehicleLY80 | PK_US_M6 | OK | OK | VISUAL_OK
Pakistan | 7 Mobile SAM | HQ-9/P | PakistanVehicleHQ9P | PK_LSFHQ9 | OK | OK | VISUAL_OK
Pakistan | 8 Radar | IBIS-150 | PakistanVehicleRadar | PK_UVRadarVan | OK | OK | VISUAL_OK
Pakistan | 9 MLRS | A-100 | PakistanVehicleA100 | PK_RUS_BM30 | OK | OK | VISUAL_OK
Pakistan | 10 Ballistic/Cruise TEL | Shaheen-II | PakistanVehicleShaheen | PK_LSFIskander | OK | OK | VISUAL_OK
Pakistan | 11 SPA | M109A2 | PakistanVehicleM109 | PK_US_M109A7 | OK | OK | VISUAL_OK
Pakistan | 12 AT Vehicle | Baktar-Shikan | PakistanVehicleBaktar | PK_US_M1128 | OK | OK | VISUAL_OK
Pakistan | 13 Engineer | Al-Hadeed | PakistanVehicleARV | PK_Irq_VT72B | OK | OK | VISUAL_OK
Pakistan | 14 Special | Nasr | PakistanVehicleNasr | PK_LSFIskander | OK | OK | VISUAL_OK
SaudiArabia | 1 MBT | M1A2S Abrams | SaudiArabiaTankM1A2 | M1A2sudarb | OK | OK | VISUAL_OK
SaudiArabia | 2 Heavy Tank | M1A2 Abrams | SaudiArabiaTankM1A2S | SA_US_M1A2Sep2 | OK | OK | VISUAL_OK
SaudiArabia | 3 Recon | LAV-25 | SaudiArabiaVehicleLAV25 | SA_US_M1296 | OK | OK | VISUAL_OK
SaudiArabia | 4 IFV | M2 Bradley | SaudiArabiaVehicleM2 | SA_US_M2A3Bskiii | OK | OK | VISUAL_OK
SaudiArabia | 5 APC | Tuwaiq-2 | SaudiArabiaVehicleLAV | SA_US_M1126 | OK | OK | VISUAL_OK
SaudiArabia | 6 SHORAD | Avenger | SaudiArabiaVehicleAvenger | SA_US_M6 | OK | OK | VISUAL_OK
SaudiArabia | 7 Mobile SAM | Patriot PAC-3 | SaudiArabiaVehiclePatriot | pac3_sudarb | OK | OK | VISUAL_OK
SaudiArabia | 8 Radar | AN/MPQ-53 | SaudiArabiaVehicleMPQ53 | radarsude | OK | OK | VISUAL_OK
SaudiArabia | 9 MLRS | HIMARS | SaudiArabiaVehicleASTROS | SA_US_M270 | OK | OK | VISUAL_OK
SaudiArabia | 10 Ballistic/Cruise TEL | ATACMS | SaudiArabiaVehicleATACMS | SA_US_M1075 | OK | OK | VISUAL_OK
SaudiArabia | 11 SPA | M109A6 Paladin | SaudiArabiaVehicleM109 | Arb_M109A6 | OK | OK | VISUAL_OK
SaudiArabia | 12 AT Vehicle | LAV-AT | SaudiArabiaVehicleLAVAT | SA_US_M1128 | OK | OK | VISUAL_OK
SaudiArabia | 13 Engineer | M88 ARV | SaudiArabiaVehicleM88 | SA_Irq_VT72B | OK | OK | VISUAL_OK
SaudiArabia | 14 Special | THAAD | SaudiArabiaVehiclePatriotBtry | pac3_sudarb | OK | OK | VISUAL_OK
UAE | 1 MBT | Leclerc UAE | UAETankLeclerc | AE_LSFLKLR | OK | OK | VISUAL_OK
UAE | 2 Heavy Tank | BMP-3 | UAEVehicleBMP3 | AE_RUS_BMP3M | OK | OK | VISUAL_OK
UAE | 3 Recon | Nimr Ajban | UAEVehicleNimr | AE_US_M1296 | OK | OK | VISUAL_OK
UAE | 4 IFV | Rabdan | UAEVehicleRabdan | AE_LSFVBCI | OK | OK | VISUAL_OK
UAE | 5 APC | Nimr Hafeet | UAEVehiclePatria | AE_LSFVBCI | OK | OK | VISUAL_OK
UAE | 6 SHORAD | Pantsir-S1 | UAEVehiclePantsir | Arb_PantsirS1 | OK | OK | VISUAL_OK
UAE | 7 Mobile SAM | Patriot PAC-3 | UAEVehiclePatriot | ABPatriot | OK | OK | VISUAL_OK
UAE | 8 Radar | AN/MPQ-65 | UAEVehicleRadar | AE_US_AN_TPY2 | OK | OK | VISUAL_OK
UAE | 9 MLRS | HIMARS | UAEVehicleHIMARS | AE_NAT_M142 | OK | OK | VISUAL_OK
UAE | 10 Ballistic/Cruise TEL | ATACMS | UAEVehicleThunder | AE_US_M1075 | OK | OK | VISUAL_OK
UAE | 11 SPA | G6 Rhino | UAEVehicleG6 | AE_LSFG6R | OK | OK | VISUAL_OK
UAE | 12 AT Vehicle | BMP-3 Kornet | UAEVehicleBMP3AT | AE_RUS_BMP3M | OK | OK | VISUAL_OK
UAE | 13 Engineer | Leclerc ARV | UAEVehicleLeclercARV | AE_Irq_VT72B | OK | OK | VISUAL_OK
UAE | 14 Special | Jobaria MLS | UAEVehicleJobaria | AE_US_M270 | OK | OK | VISUAL_OK
Vietnam | 1 MBT | T-90S | VietnamTankT90S | Egy_T90MS | OK | OK | VISUAL_OK
Vietnam | 2 Heavy Tank | T-54M3 | VietnamTankT54M3 | VN_Irq_T72M1 | OK | OK | VISUAL_OK
Vietnam | 3 Recon | BRDM-2 | VietnamVehicleBRDM | VN_US_MATV | OK | OK | VISUAL_OK
Vietnam | 4 IFV | BMP-2 | VietnamVehicleBMP1 | VN_RUS_BMP3M | OK | OK | VISUAL_OK
Vietnam | 5 APC | BTR-80 | VietnamVehicleBTR80 | VN_Irq_BTR90 | OK | OK | VISUAL_OK
Vietnam | 6 SHORAD | ZSU-23-4 | VietnamVehicleShilka | VN_LSFShilka | OK | OK | VISUAL_OK
Vietnam | 7 Mobile SAM | S-300PMU1 | VietnamVehicleS300 | VN_Arb_S300 | OK | OK | VISUAL_OK
Vietnam | 8 Radar | 36D6 | VietnamVehicle36D6 | VN_UVRadarVan | OK | OK | VISUAL_OK
Vietnam | 9 MLRS | BM-21 Grad | VietnamVehicleBM21 | VN_LSFBM21 | OK | OK | VISUAL_OK
Vietnam | 10 Ballistic/Cruise TEL | Scud-B | VietnamVehicleScud | VN_LSFIskander | OK | OK | VISUAL_OK
Vietnam | 11 SPA | 2S3 Akatsiya | VietnamVehicle2S3 | VN_LSF2S19 | OK | OK | VISUAL_OK
Vietnam | 12 AT Vehicle | 9P148 Konkurs | VietnamVehicleKonkurs | VN_US_M1128 | OK | OK | VISUAL_OK
Vietnam | 13 Engineer | BREM-1 | VietnamVehicleBREM | VN_Irq_VT72B | OK | OK | VISUAL_OK
Vietnam | 14 Special | K-300P Bastion | VietnamVehicleBastion | VN_US_M1075 | OK | OK | VISUAL_OK
Syria | 1 MBT | T-72 | SyriaTankT72 | SY_Irq_T72M1 | OK | OK | VISUAL_OK
Syria | 2 Heavy Tank | T-62 | SyriaTankT62 | SY_Irq_T72M1 | OK | OK | VISUAL_OK
Syria | 3 Recon | BRDM-2 | SyriaVehicleBRDM | SY_US_MATV | OK | OK | VISUAL_OK
Syria | 4 IFV | BMP-1 | SyriaVehicleBMP1 | SY_RUS_BMP3M | OK | OK | VISUAL_OK
Syria | 5 APC | BTR-80 | SyriaVehicleBTR | SY_Irq_BTR90 | OK | OK | VISUAL_OK
Syria | 6 SHORAD | ZSU-23-4 | SyriaVehicleShilka | SY_LSFShilka | OK | OK | VISUAL_OK
Syria | 7 Mobile SAM | Buk-M2 | SyriaVehicleBuk | SY_Arb_S300 | OK | OK | VISUAL_OK
Syria | 8 Radar | P-18 | SyriaVehicleP18 | SY_UVRadarVan | OK | OK | VISUAL_OK
Syria | 9 MLRS | BM-21 Grad | SyriaVehicleBM21 | SY_LSFBM21 | OK | OK | VISUAL_OK
Syria | 10 Ballistic/Cruise TEL | Scud | SyriaVehicleScud | SY_LSFIskander | OK | OK | VISUAL_OK
Syria | 11 SPA | 2S1 Gvozdika | SyriaVehicle2S1 | SY_LSF2S19 | OK | OK | VISUAL_OK
Syria | 12 AT Vehicle | 9K135 Kornet | SyriaVehicleKornet | SY_US_M1128 | OK | OK | VISUAL_OK
Syria | 13 Engineer | BREM-1 | SyriaVehicleBREM | SY_Irq_VT72B | OK | OK | VISUAL_OK
Syria | 14 Special | TOS-1A | SyriaVehicleTOS1A | SY_RUS_TOS1A | OK | OK | VISUAL_OK
Libya | 1 MBT | T-72 | LibyaTankT72 | LibyanT72 | OK | OK | VISUAL_OK
Libya | 2 Heavy Tank | T-62 | LibyaTankT62 | LY_Irq_T72M1 | OK | OK | VISUAL_OK
Libya | 3 Recon | EE-9 Cascavel | LibyaVehicleBRDM | LY_US_MATV | OK | OK | VISUAL_OK
Libya | 4 IFV | BMP-1 | LibyaVehicleBMP1 | LY_RUS_BMP3M | OK | OK | VISUAL_OK
Libya | 5 APC | M113 | LibyaVehicleM113 | LY_US_M1126 | OK | OK | VISUAL_OK
Libya | 6 SHORAD | ZSU-23-4 | LibyaVehicleShilka | LY_LSFShilka | OK | OK | VISUAL_OK
Libya | 7 Mobile SAM | 2K12 Kub | LibyaVehicleSA6 | LY_Irq_Roland3k | OK | OK | VISUAL_OK
Libya | 8 Radar | P-15 | LibyaVehicleRadar | LY_UVRadarVan | OK | OK | VISUAL_OK
Libya | 9 MLRS | BM-21 Grad | LibyaVehicleBM21 | LY_LSFBM21 | OK | OK | VISUAL_OK
Libya | 10 Ballistic/Cruise TEL | Scud-B | LibyaVehicleScudB | LY_LSFIskander | OK | OK | VISUAL_OK
Libya | 11 SPA | 2S1 Gvozdika | LibyaVehicle2S1 | LY_US_M109A7 | OK | OK | VISUAL_OK
Libya | 12 AT Vehicle | 9P122 Malyutka | LibyaVehicleATGM | LY_US_M1128 | OK | OK | VISUAL_OK
Libya | 13 Engineer | BREM-1 | LibyaVehicleBREM | LY_Irq_VT72B | OK | OK | VISUAL_OK
Libya | 14 Special | 9K52 Luna-M | LibyaVehicleScudBtry | LY_LSFIskander | OK | OK | VISUAL_OK
SouthAfrica | 1 MBT | Olifant Mk2 | SouthAfricaTankOlifant | LSFhaojiao | OK | OK | VISUAL_OK
SouthAfrica | 2 Heavy Tank | Olifant Mk1B | SouthAfricaTankOlifant1B | ZA_Irq_T72M1 | OK | OK | VISUAL_OK
SouthAfrica | 3 Recon | Rooikat | SouthAfricaVehicleRooikat | LSFshanmao | OK | OK | VISUAL_OK
